# run: ./pt -T 11 1.5 1.6 1.7 1.8 1.9 2.0 2.1 2.2 2.3 2.4 2.5 40 1000 
# Info realisation 1000:numb. clusters=1, id_largest=0, size_largest = 1600
# time n x(energy mag mag2)
1 -1.552500 0.091250 0.091250  -1.512500 0.386250 0.386250  -1.417500 0.123750 0.123750  -1.442500 0.153750 0.153750  -1.442500 0.135000 0.135000  -1.340000 0.403750 0.403750  -1.282500 0.047500 0.047500  -1.242500 0.162500 0.162500  -1.230000 0.103750 0.103750  -1.195000 0.082500 0.082500  -1.030000 0.146250 0.146250  
2 -1.625000 0.128750 0.128750  -1.597500 0.363750 0.363750  -1.610000 0.138750 0.138750  -1.547500 0.246250 0.246250  -1.540000 0.251250 0.251250  -1.442500 0.481250 0.481250  -1.335000 0.037500 0.037500  -1.202500 0.173750 0.173750  -1.280000 0.105000 0.105000  -1.155000 0.060000 0.060000  -1.132500 0.293750 0.293750  
3 -1.662500 0.203750 0.203750  -1.685000 0.406250 0.406250  -1.695000 0.336250 0.336250  -1.620000 0.167500 0.167500  -1.605000 0.295000 0.295000  -1.550000 0.575000 0.575000  -1.327500 0.031250 0.031250  -1.295000 0.321250 0.321250  -1.202500 0.012500 0.012500  -1.212500 0.053750 0.053750  -1.200000 0.258750 0.258750  
4 -1.725000 0.261250 0.261250  -1.780000 0.433750 0.433750  -1.667500 0.387500 0.387500  -1.647500 0.342500 0.342500  -1.622500 0.155000 0.155000  -1.605000 0.678750 0.678750  -1.402500 0.041250 0.041250  -1.347500 0.350000 0.350000  -1.205000 0.005000 0.005000  -1.272500 0.001250 0.001250  -1.205000 0.171250 0.171250  
5 -1.782500 0.401250 0.401250  -1.752500 0.325000 0.325000  -1.712500 0.483750 0.483750  -1.707500 0.406250 0.406250  -1.612500 0.725000 0.725000  -1.562500 0.065000 0.065000  -1.352500 0.107500 0.107500  -1.402500 0.497500 0.497500  -1.322500 0.066250 0.066250  -1.202500 0.071250 0.071250  -1.052500 0.146250 0.146250  
6 -1.757500 0.368750 0.368750  -1.775000 0.418750 0.418750  -1.687500 0.691250 0.691250  -1.647500 0.431250 0.431250  -1.672500 0.362500 0.362500  -1.587500 0.093750 0.093750  -1.447500 0.575000 0.575000  -1.380000 0.095000 0.095000  -1.240000 0.035000 0.035000  -1.235000 0.013750 0.013750  -1.052500 0.037500 0.037500  
7 -1.780000 0.438750 0.438750  -1.780000 0.455000 0.455000  -1.810000 0.767500 0.767500  -1.635000 0.452500 0.452500  -1.647500 0.350000 0.350000  -1.522500 0.081250 0.081250  -1.417500 0.558750 0.558750  -1.335000 0.065000 0.065000  -1.292500 0.102500 0.102500  -1.182500 0.027500 0.027500  -1.157500 0.206250 0.206250  
8 -1.795000 0.787500 0.787500  -1.807500 0.535000 0.535000  -1.785000 0.508750 0.508750  -1.725000 0.421250 0.421250  -1.667500 0.527500 0.527500  -1.535000 0.021250 0.021250  -1.462500 0.508750 0.508750  -1.407500 0.258750 0.258750  -1.322500 0.025000 0.025000  -1.087500 0.116250 0.116250  -1.177500 0.332500 0.332500  
9 -1.832500 0.798750 0.798750  -1.782500 0.585000 0.585000  -1.777500 0.576250 0.576250  -1.605000 0.536250 0.536250  -1.710000 0.423750 0.423750  -1.545000 0.026250 0.026250  -1.490000 0.582500 0.582500  -1.387500 0.093750 0.093750  -1.352500 0.275000 0.275000  -1.247500 0.293750 0.293750  -1.062500 0.207500 0.207500  
10 -1.855000 0.835000 0.835000  -1.810000 0.646250 0.646250  -1.765000 0.616250 0.616250  -1.610000 0.565000 0.565000  -1.640000 0.391250 0.391250  -1.597500 0.742500 0.742500  -1.550000 0.032500 0.032500  -1.400000 0.046250 0.046250  -1.310000 0.406250 0.406250  -1.050000 0.097500 0.097500  -1.160000 0.192500 0.192500  
11 -1.917500 0.896250 0.896250  -1.870000 0.710000 0.710000  -1.787500 0.585000 0.585000  -1.660000 0.530000 0.530000  -1.680000 0.517500 0.517500  -1.645000 0.798750 0.798750  -1.505000 0.065000 0.065000  -1.362500 0.385000 0.385000  -1.357500 0.035000 0.035000  -1.220000 0.142500 0.142500  -1.205000 0.243750 0.243750  
12 -1.890000 0.927500 0.927500  -1.820000 0.747500 0.747500  -1.795000 0.633750 0.633750  -1.710000 0.593750 0.593750  -1.675000 0.551250 0.551250  -1.760000 0.905000 0.905000  -1.545000 0.122500 0.122500  -1.462500 0.431250 0.431250  -1.167500 0.133750 0.133750  -1.237500 0.076250 0.076250  -0.975000 0.141250 0.141250  
